ticker_a,ticker_b,sector,pvalue,test_stat,hedge_ratio,orientation,half_life,sharpe,annualized_return,annualized_volatility,total_return,max_drawdown,n_trades,win_rate,avg_holding_days,gross_pnl,total_costs,net_pnl
CWEN,NEE,utilities_top50,0.00014761289049905726,-5.025724138597478,0.4374348473698135,CWEN on NEE,11.676400343609476,0.6828972303337603,0.0577378830812928,0.08454842180729583,0.2298059394068916,-0.11304836456297074,34,0.7058823529411765,11.882352941176471,0.3314044905537302,0.10159855114683868,0.2298059394068916
CMS,WTRG,utilities_top50,0.014150200906068947,-3.785984496036103,0.783574986575274,CMS on WTRG,19.185125855697862,0.5883857083592593,0.03824790144632842,0.06500481045500657,0.1522327188518548,-0.11482441357317652,32,0.78125,13.46875,0.24861360558254547,0.0963808867306906,0.1522327188518548
EVRG,OTTR,utilities_top50,0.031767157521039785,-3.5071458840946,0.4889952396553123,EVRG on OTTR,27.870997523408153,0.4941432401168415,0.04181956199678407,0.08463044437660572,0.16644849477291437,-0.09079185672597301,35,0.7428571428571429,11.685714285714285,0.27121520483140316,0.10476671005848873,0.16644849477291437
AEP,CWEN,utilities_top50,0.02380227841008368,-3.6101441817181605,0.23017990073017,AEP on CWEN,23.002389825367803,0.484217799520278,0.065594474605685,0.1354648149462297,0.26107642075199233,-0.20514178281371176,33,0.696969696969697,14.424242424242424,0.3605102523377223,0.09943383158572996,0.2610764207519924
EXC,NFG,utilities_top50,0.049789394887768804,-3.337441726447013,0.4236789275468576,EXC on NFG,31.346418948623832,0.4789570132141615,0.03870463351805796,0.08081024486586132,0.1540505849944926,-0.12483628616638964,28,0.6428571428571429,14.642857142857142,0.23806902566649785,0.08401844067200513,0.15405058499449265
D,NEE,utilities_top50,0.02097001576999912,-3.654061796286899,0.16606880179855077,D on NEE,12.772795816962624,0.4376414799879831,0.052056745082790394,0.11894838003979831,0.20719410840491576,-0.2480757218468107,30,0.6666666666666666,16.166666666666668,0.29717135936242134,0.08997725095750542,0.20719410840491578
AWK,CWEN,utilities_top50,0.019644287914308035,-3.676416042037569,4.024604509362817,AWK on CWEN,17.159160572543204,0.43581690659474254,0.040509528707349036,0.09295079675515673,0.16123435433917097,-0.10453992941233237,34,0.7058823529411765,12.735294117647058,0.26361300747191607,0.10237865313274519,0.16123435433917097
DTE,PEG,utilities_top50,0.002702977074710189,-4.284874250292165,1.9437011887055184,DTE on PEG,12.367276809480702,0.3847683042301351,0.023464633122871573,0.06098379950973577,0.093392964373969,-0.11497422787669387,31,0.6451612903225806,14.03225806451613,0.18668116063209214,0.09328819625812314,0.093392964373969
D,EVRG,utilities_top50,0.04270168209510916,-3.396848774114437,0.44359210868488413,D on EVRG,17.433812822964295,0.3834043903597145,0.030335145557856536,0.07912049606264483,0.12073869442273852,-0.13881774428050764,29,0.7241379310344828,13.89655172413793,0.20771889171618016,0.08698019729344171,0.12073869442273846
AEP,SWX,utilities_top50,0.040073318037900006,-3.420977921095206,0.18497528535719707,AEP on SWX,27.622700791498097,0.31112242547232843,0.03628112990220636,0.11661367658447125,0.14440465592028962,-0.15389033641866867,36,0.75,13.472222222222221,0.25273841626347104,0.10833376034318147,0.14440465592028953
D,ES,utilities_top50,0.007030090374193399,-4.006475857245696,0.45475160802607095,D on ES,12.247992228237116,0.28405727147054777,0.018142374408117633,0.06386872025558658,0.07220952988627773,-0.17355105254203407,31,0.6774193548387096,13.612903225806452,0.16528045872228042,0.09307092883600265,0.07220952988627777
AEP,CNP,utilities_top50,0.020090936117133792,-3.668741861626704,0.3708639543683621,AEP on CNP,23.927504700179888,0.26239638549545957,0.03277400221268494,0.1249026435741511,0.13044573102905951,-0.163144364753548,34,0.6764705882352942,15.735294117647058,0.2331394566519131,0.10269372562285352,0.1304457310290595
AEP,NRG,utilities_top50,0.024529936302148794,-3.599594239626049,0.22359803019301092,AEP on NRG,24.269779408616184,0.26163180363380695,0.035782986925332716,0.13676849078874367,0.1424219678020187,-0.21756082444352853,33,0.696969696969697,15.030303030303031,0.24187038967370622,0.09944842187168758,0.1424219678020187
AEP,SR,utilities_top50,0.03618006098445577,-3.4592784336492644,0.24892942150636924,AEP on SR,28.94665846091791,0.25808810406323446,0.029380619039326095,0.11383949347827174,0.11693952736684156,-0.17953163012772,34,0.7058823529411765,15.176470588235293,0.21965956633340902,0.10272003896656753,0.11693952736684145
AEP,UGI,utilities_top50,0.021182581670874334,-3.6505925457596566,0.08892462004604741,AEP on UGI,23.46068355081477,0.24993156550616077,0.03534165985595313,0.14140534743732466,0.1406654160139722,-0.18403950720256612,36,0.6944444444444444,14.11111111111111,0.2492467516954587,0.10858133568148653,0.14066541601397223
D,NI,utilities_top50,0.0280892327819321,-3.5515737494678934,0.16199448788848403,D on NI,15.99199385919723,0.24646686364421677,0.03437602972468626,0.13947525933672456,0.136822054816906,-0.30140067431732087,32,0.6875,14.84375,0.2329245328718574,0.09610247805495131,0.13682205481690607
